,Time,262800 __DutyCycle_1,277400 __DutyCycle_1,292000 __DutyCycle_1,262800 __DutyCycle_2,277400 __DutyCycle_2,292000 __DutyCycle_2,262800 __DutyCycle_3,277400 __DutyCycle_3,292000 __DutyCycle_3,262800 __DutyCycle_4,277400 __DutyCycle_4,292000 __DutyCycle_4,262800 __DutyCycle_5,277400 __DutyCycle_5,292000 __DutyCycle_5
37,3400.3948586157844,0.00211185775137146,0.016997557631243776,0.1770420029006161,0.00041243872003904336,0.0005014393309878962,0.002582345486577431,0.00041243872003904336,0.00041243872003904336,0.00041243872003904336,0.0002597480089048254,0.0002597480089048254,0.0002597480089048254,0.00041243872003904336,0.00041243872003904336,0.00041243872003904336
38,3740.434344477363,0.0028098997654837365,0.02255986347190919,0.22844359907853207,0.0005489184619568155,0.0006673603557122432,0.0034356320534890683,0.0005489184619568155,0.0005489184619568155,0.0005489184619568155,0.00034570973688008433,0.00034570973688008433,0.00034570973688008433,0.0005489184619568155,0.0005489184619568155,0.0005489184619568155
39,4114.477778925099,0.0037382362639922784,0.029914497696061915,0.29191339281874495,0.0007305440916950401,0.000888158512556525,0.004570224172505966,0.0007305440916950401,0.0007305440916950401,0.0007305440916950401,0.00046011333088458173,0.00046011333088458173,0.00046011333088458173,0.0007305440916950401,0.0007305440916950401,0.0007305440916950401
40,4525.9255568176095,0.00497251160711587,0.03961774076094704,0.36836676709262584,0.0009722366043593,0.0011819651828995914,0.006078362687932937,0.0009722366043593,0.0009722366043593,0.0009722366043593,0.0006123642042974442,0.0006123642042974442,0.0006123642042974442,0.0009722366043593,0.0009722366043593,0.0009722366043593
41,4978.518112499371,0.0066129602695276235,0.05238236214782743,0.4574760966531922,0.0012938386564159687,0.0015728878362426535,0.008082151085968436,0.0012938386564159687,0.0012938386564159687,0.0012938386564159687,0.0008149741416701994,0.0008149741416701994,0.0008149741416701994,0.0012938386564159687,0.0012938386564159687,0.0012938386564159687
42,5476.369923749308,0.008792202733318155,0.0691092744534626,0.5568900254137195,0.001721730391611942,0.002092968550061247,0.010742928094903403,0.001721730391611942,0.001721730391611942,0.001721730391611942,0.0010845842494336955,0.0010845842494336955,0.0010845842494336955,0.001721730391611942,0.001721730391611942,0.001721730391611942
43,6024.00691612424,0.01168536002244669,0.0909156648574807,0.6615403963842917,0.0022909699106216097,0.002784775746815682,0.014273353431763613,0.0022909699106216097,0.0022909699106216097,0.0022909699106216097,0.0014433224522789612,0.0014433224522789612,0.0014433224522789612,0.0022909699106216097,0.0022909699106216097,0.0022909699106216097
44,6626.407607736664,0.015523056642802735,0.11914959979734474,0.7635313314698098,0.003048124208104741,0.0037048271869510874,0.018952812275545794,0.003048124208104741,0.003048124208104741,0.003048124208104741,0.001920603152331335,0.001920603152331335,0.001920603152331335,0.003048124208104741,0.003048124208104741,0.003048124208104741
45,7289.048368510332,0.020607923493707103,0.15537337084053515,0.853278867812038,0.004055005288445379,0.0049280989701486755,0.025146729280928315,0.004055005288445379,0.004055005288445379,0.004055005288445379,0.0025555098951540733,0.0025555098951540733,0.0025555098951540733,0.004055005288445379,0.004055005288445379,0.004055005288445379
46,8017.953205361366,0.027335162359305554,0.20128689844131897,0.9222676597033225,0.005393586670819905,0.006553944070585294,0.03333021109634848,0.005393586670819905,0.005393586670819905,0.005393586670819905,0.0033999442791406986,0.0033999442791406986,0.0033999442791406986,0.005393586670819905,0.005393586670819905,0.005393586670819905
47,8819.748525897503,0.03621749011696773,0.2585494939320748,0.9666273325937544,0.007172448003017529,0.008713823722170222,0.04411595611049479,0.007172448003017529,0.007172448003017529,0.007172448003017529,0.0045227775430587425,0.0045227775430587425,0.0045227775430587425,0.007172448003017529,0.007172448003017529,0.007172448003017529
48,9701.723378487253,0.04791416634797119,0.32844843912239463,0.9891698788488819,0.009535178000027122,0.011581340695881015,0.0582853266607436,0.009535178000027122,0.009535178000027122,0.009535178000027122,0.006015306405157017,0.006015306405157017,0.006015306405157017,0.009535178000027122,0.009535178000027122,0.009535178000027122
49,10671.89571633598,0.06326252828877799,0.41136967541749436,0.9975784304769748,0.012671251342449064,0.01538514212714992,0.07681946670658302,0.012671251342449064,0.012671251342449064,0.012671251342449064,0.007998391496419899,0.007998391496419899,0.007998391496419899,0.012671251342449064,0.012671251342449064,0.012671251342449064
50,11739.085287969578,0.08330805313386191,0.5060755292612653,0.9996702133812545,0.01682996669320702,0.02042530315689428,0.10092377099780159,0.01682996669320702,0.01682996669320702,0.01682996669320702,0.010631741578492226,0.010631741578492226,0.010631741578492226,0.01682996669320702,0.01682996669320702,0.01682996669320702
51,12912.993816766537,0.10932478595265405,0.6089230828974236,0.9999767850280707,0.022338055877269558,0.027093756822724302,0.1320331033978268,0.022338055877269558,0.022338055877269558,0.022338055877269558,0.014125889574301831,0.014125889574301831,0.014125889574301831,0.022338055877269558,0.022338055877269558,0.022338055877269558
52,14204.293198443193,0.1428112211076411,0.7133836470683452,0.9999993210505751,0.029621482176841796,0.03589910046529032,0.17177619577820036,0.029621482176841796,0.029621482176841796,0.029621482176841796,0.01875746480225471,0.01875746480225471,0.01875746480225471,0.029621482176841796,0.029621482176841796,0.029621482176841796
53,15624.722518287514,0.18543678990129697,0.8104745287945834,0.9999999938315562,0.0392316188017201,0.047495509881276154,0.22186562706845547,0.0392316188017201,0.0392316188017201,0.0392316188017201,0.024888354857314887,0.024888354857314887,0.024888354857314887,0.0392316188017201,0.0392316188017201,0.0392316188017201
54,17187.194770116268,0.23890144555218062,0.890711225584256,0.9999999999881771,0.051875230799334204,0.06271423964498224,0.283867023356953,0.051875230799334204,0.051875230799334204,0.051875230799334204,0.032989186646159796,0.032989186646159796,0.032989186646159796,0.051875230799334204,0.051875230799334204,0.051875230799334204
