Vane,RPM corr [1/min],ER [ - ],M corr [kg/s],eta [fraction]
0,57487.2,1.219899,0.015266,0.01
0,57487.2,1.249899,0.017273,0.01
0,57487.2,1.475951,0.026518,0.152301
0,57487.2,1.702003,0.031327,0.407278
0,57487.2,1.928055,0.034297,0.496372
0,57487.2,2.154107,0.036266,0.537561
0,57487.2,2.380159,0.037617,0.562471
0,57487.2,2.606211,0.038552,0.579093
0,57487.2,2.900079,0.039337,0.588695
0,57487.2,3,0.03952,0.588147
0,59282.1,1.106348,0.001,0.01
0,59282.1,1.136348,0.006065,0.01
0,59282.1,1.166348,0.009771,0.01
0,59282.1,1.196348,0.012675,0.01
0,59282.1,1.226348,0.015053,0.01
0,59282.1,1.256348,0.017061,0.01
0,59282.1,1.464021,0.025811,0.055766
0,59282.1,1.671693,0.030543,0.349752
0,59282.1,1.879366,0.033541,0.461402
0,59282.1,2.087038,0.035574,0.514658
0,59282.1,2.294711,0.037003,0.54641
0,59282.1,2.502384,0.038022,0.568151
0,59282.1,2.772358,0.03892,0.585396
0,59282.1,3,0.039406,0.58906
0,61076.9,1.113022,0.001,0.01
0,61076.9,1.143022,0.00593,0.01
0,61076.9,1.173022,0.009583,0.01
0,61076.9,1.203022,0.012467,0.01
0,61076.9,1.233022,0.014838,0.01
0,61076.9,1.263022,0.016845,0.01
0,61076.9,1.474373,0.02573,0.01
0,61076.9,1.685724,0.030506,0.320602
0,61076.9,1.897075,0.033519,0.44369
0,61076.9,2.108426,0.035554,0.503859
0,61076.9,2.319777,0.036979,0.540226
0,61076.9,2.531129,0.037991,0.565058
0,61076.9,2.805885,0.038877,0.584457
0,61076.9,3,0.039287,0.588619
0,62871.8,1.119923,0.001,0.01
0,62871.8,1.149923,0.005799,0.01
0,62871.8,1.179923,0.009398,0.01
0,62871.8,1.209923,0.012259,0.01
0,62871.8,1.239923,0.014621,0.01
0,62871.8,1.269923,0.016626,0.01
0,62871.8,1.504932,0.026205,0.01
0,62871.8,1.739942,0.031127,0.324065
0,62871.8,1.974952,0.034137,0.447641
0,62871.8,2.209961,0.036115,0.509253
0,62871.8,2.444971,0.037459,0.547318
0,62871.8,2.679981,0.038379,0.572233
0,62871.8,2.985493,0.039136,0.586672
0,62871.8,3,0.039163,0.586797
0,64666.7,1.127054,0.001,0.01
0,64666.7,1.157054,0.005671,0.01
0,64666.7,1.187054,0.009215,0.01
0,64666.7,1.217054,0.012051,0.01
0,64666.7,1.247054,0.014403,0.01
0,64666.7,1.277054,0.016404,0.01
0,64666.7,1.511172,0.025982,0.01
0,64666.7,1.74529,0.030923,0.286525
0,64666.7,1.979409,0.033952,0.424142
0,64666.7,2.213527,0.035946,0.493911
0,64666.7,2.447645,0.037304,0.53715
0,64666.7,2.681763,0.038236,0.565618
0,64666.7,2.986117,0.039007,0.583323
0,64666.7,3,0.039033,0.583568
0,66461.5,1.134418,0.001,0.01
0,66461.5,1.164418,0.005547,0.01
0,66461.5,1.194418,0.009035,0.01
0,66461.5,1.224418,0.011844,0.01
0,66461.5,1.254418,0.014184,0.01
0,66461.5,1.284418,0.016181,0.01
0,66461.5,1.496643,0.025152,0.01
0,66461.5,1.708869,0.030001,0.202977
0,66461.5,1.921094,0.033064,0.36787
0,66461.5,2.133319,0.035136,0.453131
0,66461.5,2.345545,0.036589,0.505787
