Nozzle	RPM	PRT	Q	EtaT
0.4	34789.45	3.754545652	1.121632	0.89642894
0.4	34789.45	4.341363957	1.169648	0.91723973
0.4	34789.45	4.970777267	1.2046	0.926848018
0.4	34789.45	5.85268347	1.236688	0.929152243
0.4	34789.45	7.106772218	1.263536	0.921772108
0.4	34789.45	8.918943332	1.283184	0.902140993
0.4	34789.45	11.58210376	1.294648	0.867339478
0.4	34789.45	15.56362465	1.29836	0.81367088
0.4	34789.45	16	1.298376	0.807870628
0.4	36631.6	1.509929779	0.008	0.061025
0.4	36631.6	1.584557299	1.56E-01	0.061025
0.4	36631.6	1.660984819	2.76E-01	0.061025
0.4	36631.6	1.739212339	0.376656	0.061025
0.4	36631.6	1.819239859	0.461712	0.061025
0.4	36631.6	1.901067379	0.534928	0.167437198
0.4	36631.6	2.366963788	0.801248	0.58035542
0.4	36631.6	2.883873051	0.955672	0.75347879
0.4	36631.6	3.45179241	1.054952	0.838912618
0.4	36631.6	4.070721866	1.12236	0.884171345
0.4	36631.6	4.740661418	1.169624	0.9080978
0.4	36631.6	5.461611066	1.203432	0.919450243
0.4	36631.6	6.475106212	1.23384	0.92266403
0.4	36631.6	7.92152283	1.258568	0.914974093
0.4	36631.6	10.01968119	1.275872	0.893361785
0.4	36631.6	13.1153709	1.285072	0.854325568
0.4	36631.6	16	1.286984	0.816345545
0.4	38473.7	1.576413336	0.008	0.061025
0.4	38473.7	1.652646516	1.46E-01	0.061025
0.4	38473.7	1.730679696	2.60E-01	0.061025
0.4	38473.7	1.810512876	3.56E-01	0.061025
0.4	38473.7	1.892146056	0.438784	0.061025
0.4	38473.7	1.975579236	0.510432	0.086421088
0.4	38473.7	2.290539983	0.70548	0.413469995
0.4	38473.7	2.628782308	0.838352	0.59553905
0.4	38473.7	2.99031248	0.934232	0.70642409
0.4	38473.7	3.375123797	1.006	0.777962008
0.4	38473.7	3.783223393	1.061072	0.82578956
0.4	38473.7	4.214603703	1.10408	0.85834859
0.4	38473.7	4.810213968	1.146888	0.885671848
0.4	38473.7	5.643332825	1.186896	0.90482999
0.4	38473.7	6.825809391	1.221384	0.912792245
0.4	38473.7	8.531055115	1.248	0.90643082
0.4	38473.7	11.03183082	1.265304	0.882367655
0.4	38473.7	14.76273137	1.273208	0.836537833
0.4	38473.7	16	1.273848	0.820560403
0.4	40315.8	1.649552354	0.008	0.061025
0.4	40315.8	1.727513294	1.36E-01	0.061025
0.4	40315.8	1.807274234	2.44E-01	0.061025
0.4	40315.8	1.888835174	3.36E-01	0.061025
0.4	40315.8	1.972196114	0.416088	0.061025
0.4	40315.8	2.057357054	0.48588	0.061025
0.4	40315.8	2.62291629	0.777832	0.48557129
0.4	40315.8	3.25706842	0.941728	0.689967073
0.4	40315.8	3.959813445	1.044	0.79309823
0.4	40315.8	4.731151365	1.111512	0.848976238
0.4	40315.8	5.571082179	1.157576	0.879270733
0.4	40315.8	6.479605887	1.18964	0.894212915
0.4	40315.8	7.763233643	1.217568	0.89931308
0.4	40315.8	9.605257585	1.23924	0.890963848
0.4	40315.8	12.29276526	1.253192	0.865112428
0.4	40315.8	16	1.258856	0.820361953
0.4	42157.9	1.730040396	0.008	0.061025
0.4	42157.9	1.809858996	1.27E-01	0.061025
0.4	42157.9	1.891477596	2.29E-01	0.061025
0.4	42157.9	1.974896196	3.17E-01	0.061025
0.4	42157.9	2.060114796	0.393736	0.061025
0.4	42157.9	2.147133396	0.461424	0.061025
0.4	42157.9	2.482316838	0.65368	0.26911085
0.4	42157.9	2.841796892	0.787424	0.470041475
0.4	42157.9	3.225576488	0.885152	0.599154148
0.4	42157.9	3.633659439	0.958928	0.68641151
0.4	42157.9	4.066038339	1.015904	0.747372043
0.4	42157.9	4.522721036	1.060656	0.79081826
0.4	42157.9	5.152732021	1.105456	0.829570033
0.4	42157.9	6.033144413	1.147656	0.860058568
0.4	42157.9	7.281432719	1.184432	0.87849347
0.4	42157.9	9.079561059	1.21328	0.88092779
0.4	42157.9	11.71346518	1.232512	0.863116903
0.4	42157.9	15.63835498	1.241616	0.819995923
0.4	42157.9	16	1.241896	0.815595845
0.4	44000	1.818665319	0.008	0.061025
0.4	44000	1.900480059	1.19E-01	0.061025
0.4	44000	1.984094799	2.15E-01	0.061025
0.4	44000	2.069509539	2.98E-01	0.061025
0.4	44000	2.156724279	0.371816	0.061025
0.4	44000	2.245739019	0.4372	0.061025
0.4	44000	2.393942334	0.52896	0.061025
0.4	44000	2.546880851	0.606568	0.163074605
0.4	44000	2.704551281	0.673008	0.271418383
0.4	44000	2.866960104	0.730456	0.360072613
0.4	44000	3.034104129	0.78052	0.433532188
0.4	44000	3.205983357	0.824464	0.495050585
0.4	44000	3.436503996	0.874024	0.561053953
0.4	44000	3.748142464	0.928088	0.628876445
0.4	44000	4.173493526	0.9848	0.695039675
0.4	44000	4.760617789	1.041544	0.755508493
0.4	44000	5.581628327	1.09516	0.806005198
0.4	44000	6.746533513	1.142344	0.842249885
0.4	44000	8.425835647	1.18016	0.860035415
0.4	44000	10.88765713	1.206592	0.855056525
0.4	44000	14.55907045	1.220896	0.822375118
