Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
860.00	0.20000	0.59429	1.6827	896.44	1233.0	8.0868	0.89596	1.1929	669.58	-0.67425	4.5114e-05	0.072847	vapor
870.00	0.20000	0.58909	1.6975	905.41	1244.9	8.0973	0.89771	1.1946	672.36	-0.67920	4.5371e-05	0.073351	vapor
880.00	0.20000	0.58399	1.7124	914.40	1256.9	8.1077	0.89943	1.1963	675.13	-0.68402	4.5627e-05	0.073852	vapor
890.00	0.20000	0.57897	1.7272	923.40	1268.8	8.1180	0.90114	1.1980	677.89	-0.68872	4.5882e-05	0.074352	vapor
900.00	0.20000	0.57404	1.7420	932.42	1280.8	8.1283	0.90282	1.1997	680.64	-0.69331	4.6137e-05	0.074851	vapor
910.00	0.20000	0.56919	1.7569	941.46	1292.8	8.1385	0.90448	1.2014	683.37	-0.69777	4.6390e-05	0.075348	vapor
920.00	0.20000	0.56442	1.7717	950.51	1304.9	8.1486	0.90611	1.2030	686.10	-0.70213	4.6643e-05	0.075843	vapor
930.00	0.20000	0.55973	1.7866	959.58	1316.9	8.1586	0.90773	1.2046	688.81	-0.70637	4.6895e-05	0.076337	vapor
940.00	0.20000	0.55512	1.8014	968.67	1328.9	8.1686	0.90933	1.2062	691.52	-0.71051	4.7146e-05	0.076830	vapor
950.00	0.20000	0.55058	1.8163	977.77	1341.0	8.1785	0.91090	1.2078	694.21	-0.71455	4.7396e-05	0.077321	vapor
960.00	0.20000	0.54612	1.8311	986.88	1353.1	8.1884	0.91245	1.2093	696.89	-0.71850	4.7646e-05	0.077810	vapor
970.00	0.20000	0.54173	1.8459	996.02	1365.2	8.1981	0.91399	1.2109	699.57	-0.72234	4.7895e-05	0.078298	vapor
980.00	0.20000	0.53741	1.8608	1005.2	1377.3	8.2078	0.91550	1.2124	702.23	-0.72610	4.8143e-05	0.078785	vapor
990.00	0.20000	0.53316	1.8756	1014.3	1389.5	8.2175	0.91699	1.2139	704.88	-0.72976	4.8390e-05	0.079270	vapor
1000.0	0.20000	0.52897	1.8905	1023.5	1401.6	8.2271	0.91847	1.2153	707.52	-0.73334	4.8637e-05	0.079754	vapor
1010.0	0.20000	0.52485	1.9053	1032.7	1413.8	8.2366	0.91992	1.2168	710.16	-0.73684	4.8883e-05	0.080236	vapor
1020.0	0.20000	0.52079	1.9202	1041.9	1425.9	8.2460	0.92136	1.2182	712.78	-0.74025	4.9128e-05	0.080717	vapor
